"pos","depth","speed","lat","lng"
"88","2.5","0.9166","59.480668200000004","10.3305035"
"89","2.2","1.1440000000000001","59.4806704","10.330499000000001"
"90","2.2","1.3386000000000002","59.4806731","10.330495800000001"
"91","2.4","1.5912","59.4806751","10.330494300000002"
"92","2.4","1.6715","59.480678000000005","10.330493000000002"
"93","2.4","1.7294999999999998","59.4806817","10.330492100000003"
"94","2.6","1.7913999999999999","59.480685099999995","10.330492000000001"
"95","2.5","1.6432","59.480688","10.330490400000002"
"96","2.4","1.5156","59.4806911","10.330487100000003"
"97","2.4","1.6072","59.480694299999996","10.330484900000002"
"98","2.5","1.7065000000000001","59.48069769999999","10.330483800000001"
"99","2.6","1.8094","59.4807008","10.3304839"
"100","2.6","1.7612","59.48070379999999","10.330483500000001"
"101","2.6","1.7675999999999998","59.480706500000004","10.330483200000002"
"102","2.7","1.7455","59.4807097","10.330482600000002"
"103","2.7","1.8811000000000002","59.4807145","10.330486800000001"
"104","2.6","2.1774","59.480715599999996","10.330491400000001"
"105","2.7","2.4482","59.4807172","10.330497000000001"
"106","2.6","2.4068","59.4807179","10.330503300000002"
"107","2.5","2.5768","59.480718700000004","10.330509900000001"
"108","2.6","2.5660000000000003","59.4807189","10.3305167"
"109","2.7","2.6669","59.4807186","10.330523200000002"
"110","2.7","2.7518000000000002","59.480717799999994","10.330529600000002"
"111","2.6","2.8381","59.4807173","10.330536000000002"
"112","2.6","2.7873","59.4807162","10.330543000000002"
"113","2.5","2.8717","59.4807148","10.330549400000002"
"114","2.5","2.9326999999999996","59.480713300000005","10.3305558"
"115","2.6","2.9474","59.4807121","10.330562400000002"
"116","2.5","2.8967","59.4807111","10.330569"
"117","2.5","2.8659","59.48071","10.330575200000002"
"118","2.8","2.8923","59.4807083","10.330581300000002"
"119","2.7","2.9872","59.4807064","10.330586900000002"
"120","2.6","3.037","59.4807043","10.330592000000003"
"121","2.6","3.0899","59.480701599999996","10.330596900000002"
"122","2.5","3.1729000000000003","59.4806985","10.330601100000003"
"123","2.5","3.2543","59.480695","10.330604300000001"
"124","2.4","3.3506","59.480691","10.330607200000001"
